qū chǐ lóu tī	32-4616-B
ren2 ren2 zhi4 shi4	4-20172-B
ren2 ri4 bao4	21-52830-S
ren2 ri4 ji4	42-3960-S
ren2 rou4 sou1 suo3	4-15855-B
ren2 ru2 ji3	25-32798-S
ren2 ru4 sheng4	23-27516-S
ren2 san1 xiang4	65-2232-S
ren2 sang4 de2	42-38061-S
ren2 sha1	69-1819-S
ren2 shan1 ren2 hai3	4-8597-B
ren2 shang1 hai4	5-52687-S
ren2 shen1	4-6768-B,4-16688-B,16-36699-B
ren2 shen1 quan2	4-16747-B
ren2 sheng1	4-14509-B
ren2 sheng1 lu4 bu4 shu2	4-14639-B
ren2 sheng1 ru2 meng4	4-14549-B
ren2 shi1 biao3	40-31955-S
ren2 shi2	13-47565-S
ren2 shi4	2-20473-S,4-5602-B,4-5750-B,4-7573-B,4-11602-B,8-54641-S,12-29989-S,29-56651-S,31-57712-S,32-40549-S,37-63989-S,38-29998-S,41-33397-S,42-7048-S,43-63236-S,45-63193-S,50-3826-S,57-42217-S,67-10792-S,68-147-S
ren2 shi4 bu4 men2	4-5868-B
ren2 shi4 guan3 li3	4-5793-B
ren2 shou3	4-9802-B
ren2 shou3 dong4	4-9845-B
ren2 shou4 bao3 xian3	4-7634-B
ren2 shou4 nian2 feng1	4-7706-B
ren2 shu2 shi4	41-15046-S
ren2 shu4	4-10164-B,25-42168-S,35-56339-S
ren2 si3	4-11553-B
ren2 suo3 zhi1	12-25246-S
ren2 tai4 shen4	35-23119-S
ren2 tan4	4-34194-S
ren2 tan4 wei2 guan1 zhi3	4-34251-S
ren2 ti3	4-19033-B
ren2 ti3 jie3 pou1	4-19142-B
ren2 ti3 jie3 pou1 xue2	4-19210-B
ren2 ti3 qi4 guan1	4-19076-B
ren2 ti4 tuo4	27-53621-S
ren2 ting1 wen2	51-67318-S
ren2 tou2	4-18177-B
ren2 tou2 di4	8-34637-S
ren2 tou2 shi1 shen1	4-18240-B
ren2 tou2 shui4	4-18303-B
ren2 wang2	19-63585-S
ren2 wei2	3-29873-S,4-14066-B
ren2 wei2 ben3	4-35812-S
ren2 wei2 kuai4 le4 zhi1 ben3	9-60911-S
ren2 wei2 le4	9-61028-S
ren2 wei2 qin1	4-41576-S
ren2 wei2 shi1	27-44712-S
ren2 wei2 xian2	4-41706-S
ren2 wei4 sheng1	5-52832-S
ren2 wen2	4-10214-B
ren2 wen2 she4 hui4 xue2 ke1	4-10390-B
ren2 wen2 she4 ke1	4-10497-B
ren2 wen2 xue2	4-10335-B
ren2 wen2 zhu3 yi4	4-10272-B
ren2 weng1	3-3755-S
ren2 wu3	16-36405-B
ren2 wu4	3-41350-S,4-14336-B,6-35160-S,53-61249-S,68-40227-S,68-52532-S,68-58730-S
ren2 wu4 miao2 xie3	4-14400-B
ren2 xi3 ai4	62-3560-S
ren2 xia4 shui3	27-35393-S
ren2 xian1 gao4 zhuang4	25-19103-S
ren2 xian2	57-61887-S
ren2 xian4	21-41208-S,34-7499-S
ren2 xian4 mu4	59-13621-S
ren2 xiang1	35-53350-S,62-52614-S
ren2 xiang3 ni3	32-29891-S
ren2 xiang4	6-5695-S
ren2 xiao3	26-24834-S
ren2 xin1	2-8568-S,4-9311-B,17-17661-S
ren2 xin1 xian2	26-53488-S
ren2 xin4 fu2	5-12840-S
ren2 xing2 dao4	4-16279-B
ren2 xing2 di4 xia4 tong1 dao4	4-16103-B
ren2 xing2 heng2 dao4	4-16202-B
ren2 xing2 qu1	4-16039-B
ren2 xing4	4-9383-B
ren2 xu1	16-36625-B
ren2 xuan3	4-17631-B
ren2 ya2 hui4	27-53744-S
ren2 yan1	4-14172-B,33-26608-S,37-10028-S,39-7372-S,54-18048-S
ren2 yan1 xi1 shao3	4-14230-B
ren2 yan3 li3 chu1 Xi1 Shi1	25-12113-S
ren2 yao1	4-7915-B
ren2 yao4 shi5	47-11915-S
ren2 yi4	4-21316-B,14-3980-S,22-0-S
ren2 yi4 liao4	8-34571-S
ren2 yi4 wai4	8-34461-S
ren2 yi4 zhong4	47-9333-S
ren2 yin2	16-36550-B
ren2 yin2 hang2	13-57942-S
ren2 you1 tian1	33-10940-S
ren2 yu2	4-19358-B,51-1874-S
ren2 yu2 xiao3 jie5	4-19415-B
ren2 yuan2	3-7062-S,4-7474-B,4-14465-B,7-42991-S,11-38513-S,12-24288-S,15-39198-S,20-41753-S,21-53120-S,24-11787-S,36-25730-S,46-61190-S,47-20613-S,50-8392-S,57-32691-S,58-38071-S,58-38748-S,61-2432-S,63-50781-S,65-39234-S,68-47232-S
ren2 yue4 dui4	58-34132-S
ren2 yun2 yi4 yun2	4-5939-B
ren2 zai4	17-21109-S
ren2 zai4 xiang3 ni3	32-29744-S
ren2 zao4	4-16900-B
ren2 zao4 si1	4-17039-B
ren2 zao4 tian1 ti3	4-16963-B
ren2 zao4 wei4 xing1	4-17160-B
ren2 zao4 xian1 wei2	4-17088-B
ren2 zao4 yu3 yan2	4-17237-B
